卦別爻號,卦別,卦圖,卦爻辭,象辭,彖辭,卦爻辭解讀-傅佩榮
大畜三,大畜,,九三：良馬逐，利艱貞。 曰閑輿衛，利有攸往。,象曰：利有攸往，上合志也。,,"九三。良馬逐，利艱貞。日閒與衛，利有攸往。
《象》曰：利有攸往，上合志也。

【白話】
九三。駿馬奔馳，適宜在艱難中正固。每天練習駕車與防衛，適宜有
所前往。
《象傳》說：適宜有所前往，是因為與上位者心意相合。

【解讀】
• 九三在下卦乾中，乾為馬；又在互震（九三、六四、六五）
中，震為行；合之則為“良馬逐”。不過，它面臨艮卦，艮
為止，表示有阻力，所以“利艱貞”。

• “閒”為嫻熟、練習，“輿”指駕車，“衛”指防衛，都是古代

作戰必備的能力。如果具備這些條件，才可以“利有攸往”。

•對九三而言，雖與上九無應，但兩者皆為陽爻，在本卦中，可
謂心意相合，可以往前邁進。"
大畜四,大畜,,六四：童牛之牿，元吉。,象曰：六四元吉，有喜也。,,"六四。童牛之牿，元吉。
《象》曰：六四元吉，有喜也。

【白話】
六四。小牛在角上綁了橫木，最為吉祥。
《象傳》說：六四最為吉祥，是因為有了喜悅之事。

【解讀】
• “牿”是綁在牛角上的橫木，使牛角無法刺傷人。這是古人畜
養小牛的方式。如此一來，小牛由野而馴，成為極有價值的家
畜，可以耕田也可以拖車，確實“元吉”。程頤說：“人之惡止
於初則易，既盛而後禁，則扦格而難勝。”小惡之人，導之可使
為善。

• 大畜卦是四陽畜二陰，在六四與六五，分別談及牛與豬，所畜
皆為對人類有利之生物。六四在互兌（九二、九三、六四）中，
兌為悅，所以“有喜”。"
大畜五,大畜,,六五：豶豕之牙，吉。,象曰：六五之吉，有慶也。,,"六五。豶豕之牙，吉。
《象》日：六五之吉，有慶也。

【白話】
六五。閹豬口中的牙，吉祥。
《象傳》說：六五的吉祥，是因為有了喜慶之事。

【解讀】
• “豶”是去勢或閹過的豬，“豕”是豬。野豬的獠牙是傷害人
的利器，“豶豕”已無野性，它的牙對人就沒有威脅了，豕反而
成為人類食物的來源，所以說“吉”。

• 六五居尊位，又有九二正應，現在把天下人引以為患的野豬馴
成了家畜，自然“有慶”。“豶豕”之喻，是要從根本上化解不
當慾望的來源，而最好的方法則是修明政教，上行下效，大家
一起蓄積德行。"
大畜上,大畜,,上九：何天之衢，亨。,象曰：何天之衢，道大行也。,,"上九。何天之衢，亨。
《象》曰：何天之衢，道大行也。

【白話】
上九。位處上天所賜的通路，通達。
《象傳》說：位處上天所賜的通路，正道可以充分實現了。

【解讀】
• “何”為荷，為擔負、承受、獲得之意。“衢” 為交通要道。上
九居天位，在全卦最上，獲得全卦的支援；上九又在互震（九
三、六四、六五）之上，震為大途；合而觀之，則是“何天之
衢”，亦即位居上天所展示的大路上。

• 大畜卦所蓄積的條件，在上九發揮了作用，使它可以無往不利，
充分實現正道。"
頤,頤,,頤：貞吉。 觀頤，自求口實。,象曰：山下有雷，頤﹔君子以慎言語，節飲食。,彖曰：頤貞吉，養正則吉也。 觀頤，觀其所養也﹔ 自求口實，觀其自養也。 天地養萬物，聖人養賢，以及萬民﹔頤之時義大矣哉！,
頤初,頤,,初九：舍爾靈龜，觀我朵頤，凶。,象曰：觀我朵頤，亦不足貴也。,,
頤二,頤,,六二：顛頤，拂經，于丘頤，征凶。,象曰：六二征凶，行失類也。,,
頤三,頤,,六三：拂頤，貞凶，十年勿用，無攸利。,象曰：十年勿用，道大悖也。,,
頤四,頤,,六四：顛頤吉，虎視眈眈，其欲逐逐，無咎。,象曰：顛頤之吉，上施光也。,,
頤五,頤,,六五：拂經，居貞吉，不可涉大川。,象曰：居貞之吉，順以從上也。,,
頤上,頤,,上九：由頤，厲吉，利涉大川。,象曰：由頤厲吉，大有慶也。,,
大過,大過,,大過：棟橈，利有攸往，亨。,象曰：澤滅木，大過﹔君子以獨立不懼，遯世無悶。,彖曰：大過，大者過也。 棟橈，本末弱也。 剛過而中，巽而說行，利有攸往，乃亨。 大過之時義大矣哉！,
大過初,大過,,初六：藉用白茅，無咎。,象曰：藉用白茅，柔在下也。,,
大過二,大過,,九二：枯楊生稊，老夫得其女妻，無不利。,象曰：老夫女妻，過以相與也。,,
大過三,大過,,九三：棟橈，凶。,象曰：棟橈之凶，不可以有輔也。,,
大過四,大過,,九四：棟隆，吉﹔有它吝。,象曰：棟隆之吉，不橈乎下也。,,
大過五,大過,,九五：枯楊生華，老婦得士夫，無咎無譽。,象曰：枯楊生華，何可久也。 老婦士夫，亦可丑也。,,
大過上,大過,,上六：過涉滅頂，凶，無咎。,象曰：過涉之凶，不可咎也。,,
坎,坎,,坎：習坎，有孚，維心亨，行有尚。,象曰：水洊至，習坎﹔君子以常德行，習教事。,彖曰：習坎，重險也。 水流而不盈，行險而不失其信。 維心亨，乃以剛中也。 行有尚，往有功也。 天險不可升也，地險山川丘陵也，王公設險以守其國，坎之時用大矣哉！,
坎初,坎,,初六：習坎，入于坎窞，凶。,象曰：習坎入坎，失道凶也。,,
坎二,坎,,九二：坎有險，求小得。,象曰：求小得，未出中也。,,
坎三,坎,,六三：來之坎坎，險且枕，入于坎窞，勿用。,象曰：來之坎坎，終無功也。,,
坎四,坎,,六四：樽酒簋貳，用缶，納約自牖，終無咎。,象曰：樽酒簋貳，剛柔際也。,,
坎五,坎,,九五：坎不盈，只既平，無咎。,象曰：坎不盈，中未大也。,,
坎上,坎,,上六：係用徽纆，置于叢棘，三歲不得，凶。,象曰：上六失道，凶三歲也。,,
離,離,,離：利貞，亨。 畜牝牛，吉。,象曰：明兩作離，大人以繼明照于四方。,彖曰：離，麗也﹔日月麗乎天，百谷草木麗乎土，重明以麗乎正，乃化成天下。 柔麗乎中正，故亨﹔是以畜牝牛吉也。,
離初,離,,初九：履錯然，敬之無咎。,象曰：履錯之敬，以辟咎也。,,
離二,離,,六二：黃離，元吉。,象曰：黃離元吉，得中道也。,,
離三,離,,九三：日昃之離，不鼓缶而歌，則大耋之嗟，凶。,象曰：日昃之離，何可久也。,,
離四,離,,九四：突如其來如，焚如，死如，棄如。,象曰：突如其來如，無所容也。,,
離五,離,,六五：出涕沱若，戚嗟若，吉。,象曰：六五之吉，離王公也。,,
離上,離,,上九：王用出征，有嘉折首，獲其匪丑，無咎。,象曰：王用出征，以正邦也。,,
咸,咸,,咸：亨，利貞，取女吉。,象曰：山上有澤，咸﹔君子以虛受人。,彖曰：咸，感也。柔上而剛下，二氣感應以相與，止而說，男下女，是以亨利貞，取女吉也。天地感而萬物化生，聖人感人心而天下和平﹔觀其所感，而天地萬物之情可見矣！,
咸初,咸,,初六：咸其拇。,象曰：咸其拇，志在外也。,,
咸二,咸,,六二：咸其腓，凶，居吉。,象曰：雖凶，居吉，順不害也。,,
咸三,咸,,九三：咸其股，執其隨，往吝。,象曰：咸其股，亦不處也。 志在隨人，所執下也。,,
咸四,咸,,九四：貞吉悔亡，憧憧往來，朋從爾思。,象曰：貞吉悔亡，未感害也。 憧憧往來，未光大也。,,
咸五,咸,,九五：咸其脢，無悔。,象曰：咸其脢，志末也。,,
咸上,咸,,上六：咸其輔，頰，舌。,象曰：咸其輔，頰，舌，滕脢說也。,,
恆,恆,,恆：亨，無咎，利貞，利有攸往。,象曰：雷風，恆﹔君子以立不易方。,彖曰：恆，久也。 剛上而柔下，雷風相與，巽而動，剛柔皆應，恆。 恆亨無咎，利貞﹔ 久於其道也，天地之道，恆久而不已也。 利有攸往，終則有始也。日月得天，而能久照，四時變化，而能久成，聖人久於其道，而天下化成﹔觀其所恆，而天地萬物之情可見矣！,
恆初,恆,,初六：浚恆，貞凶，無攸利。,象曰：浚恆之凶，始求深也。,,
恆二,恆,,九二：悔亡。,象曰：九二悔亡，能久中也。,,
恆三,恆,,九三：不恆其德，或承之羞，貞吝。,象曰：不恆其德，無所容也。,,
恆四,恆,,九四：田無禽。,象曰：久非其位，安得禽也。,,
恆五,恆,,六五：恆其德，貞，婦人吉，夫子凶。,象曰：婦人貞吉，從一而終也。 夫子制義，從婦凶也。,,
恆上,恆,,上六：振恆，凶。,象曰：振恆在上，大無功也。,,
遯,遯,,遯：亨，小利貞。,象曰：天下有山，遯﹔君子以遠小人，不惡而嚴。,彖曰：遯亨，遯而亨也。 剛當位而應，與時行也。 小利貞，浸而長也。遯之時義大矣哉！,
遯初,遯,,初六：遯尾，厲，勿用有攸往。,象曰：遯尾之厲，不往何災也。,,
遯二,遯,,六二：執之用黃牛之革，莫之勝說。,象曰：執用黃牛，固志也。,,
遯三,遯,,九三：系遯，有疾厲，畜臣妾吉。,象曰：系遯之厲，有疾憊也。 畜臣妾吉，不可大事也。,,
遯四,遯,,九四：好遯君子吉，小人否。,象曰：君子好遯，小人否也。,,
遯五,遯,,九五：嘉遯，貞吉。,象曰：嘉遯貞吉，以正志也。,,
遯上,遯,,上九：肥遯，無不利。,象曰：肥遯，無不利﹔無所疑也。,,
大壯,大壯,,大壯：利貞。,象曰：雷在天上，大壯﹔君子以非禮勿履。,彖曰：大壯，大者壯也。 剛以動，故壯。 大壯利貞﹔大者正也。正大而天地之情可見矣！,
大壯初,大壯,,初九：壯于趾，征凶，有孚。,象曰：壯于趾，其孚窮也。,,
大壯二,大壯,,九二：貞吉。,象曰：九二貞吉，以中也。,,
大壯三,大壯,,九三：小人用壯，君子用罔，貞厲。 羝羊觸藩，羸其角。,象曰：小人用壯，君子罔也。,,
大壯四,大壯,,九四：貞吉悔亡，藩決不羸，壯于大輿之輹。,象曰：藩決不羸，尚往也。,,
大壯五,大壯,,六五：喪羊于易，無悔。,象曰：喪羊于易，位不當也。,,
大壯上,大壯,,上六：羝羊觸藩，不能退，不能遂，無攸利，艱則吉。,象曰：不能退，不能遂，不祥也。 艱則吉，咎不長也。,,
晉,晉,,晉：康侯用錫馬蕃庶，晝日三接。,象曰：明出地上，晉﹔君子以自昭明德。,彖曰：晉，進也。 明出地上，順而麗乎大明，柔進而上行。 是以康侯用錫馬蕃庶，晝日三接也。,
晉初,晉,,初六：晉如，摧如，貞吉。 罔孚，裕無咎。,象曰：晉如，摧如﹔獨行正也。 裕無咎﹔未受命也。,,
晉二,晉,,六二：晉如，愁如，貞吉。 受茲介福，于其王母。,象曰：受之介福，以中正也。,,
晉三,晉,,六三：眾允，悔亡。,象曰：眾允之，志上行也。,,
晉四,晉,,九四：晉如碩鼠，貞厲。,象曰：碩鼠貞厲，位不當也。,,
晉五,晉,,六五：悔亡，失得勿恤，往吉無不利。,象曰：失得勿恤，往有慶也。,,
晉上,晉,,上九：晉其角，維用伐邑，厲吉無咎，貞吝。,象曰：維用伐邑，道未光也。,,
明夷,明夷,,明夷：利艱貞。,象曰：明入地中，明夷﹔君子以蒞眾，用晦而明。,彖曰：明入地中，明夷。 內文明而外柔順，以蒙大難，文王以之。 利艱貞，晦其明也，內難而能正其志，箕子以之。,
明夷初,明夷,,初九：明夷于飛，垂其翼。 君子于行，三日不食， 有攸往，主人有言。,象曰：君子于行，義不食也。,,
明夷二,明夷,,六二：明夷，夷于左股，用拯馬壯，吉。,象曰：六二之吉，順以則也。,,
明夷三,明夷,,九三：明夷于南狩，得其大首，不可疾貞。,象曰：南狩之志，乃大得也。,,
明夷四,明夷,,六四：入于左腹，獲明夷之心，出于門庭。,象曰：入于左腹，獲心意也。,,
明夷五,明夷,,六五：箕子之明夷，利貞。,象曰：箕子之貞，明不可息也。,,
明夷上,明夷,,上六：不明晦，初登于天，后入于地。,象曰：初登于天，照四國也。 后入于地，失則也。,,
家人,家人,,家人：利女貞。,象曰：風自火出，家人﹔君子以言有物，而行有恆。,彖曰：家人，女正位乎內，男正位乎外，男女正，天地之大義也。家人有嚴君焉，父母之謂也。父父，子子，兄兄，弟弟，夫夫，婦婦，而家道正﹔正家而天下定矣。,
家人初,家人,,初九：閑有家，悔亡。,象曰：閑有家，志未變也。,,
家人二,家人,,六二：無攸遂，在中饋，貞吉。,象曰：六二之吉，順以巽也。,,
家人三,家人,,九三：家人嗃嗃，悔厲吉﹔婦子嘻嘻，終吝。,象曰：家人嗃嗃，未失也﹔婦子嘻嘻，失家節也。,,
家人四,家人,,六四：富家，大吉。,象曰：富家大吉，順在位也。,,
家人五,家人,,九五：王假有家，勿恤吉。,象曰：王假有家，交相愛也。,,
家人上,家人,,上九：有孚威如，終吉。,象曰：威如之吉，反身之謂也。,,
睽,睽,,睽：小事吉。,象曰：上火下澤，睽﹔君子以同而異。,彖曰：睽，火動而上，澤動而下﹔ 二女同居，其志不同行﹔說而麗乎明，柔進而上行，得中而應乎剛﹔是以小事吉。 天地睽，而其事同也﹔男女睽，而其志通也﹔萬物睽，而其事類也﹔睽之時用大矣哉！,
睽初,睽,,初九：悔亡，喪馬勿逐，自復﹔見惡人無咎。,象曰：見惡人，以辟咎也。,,
睽二,睽,,九二：遇主于巷，無咎。,象曰：遇主于巷，未失道也。,,
睽三,睽,,六三：見輿曳，其牛掣，其人天且劓，無初有終。,象曰：見輿曳，位不當也。 無初有終，遇剛也。,,
睽四,睽,,九四：睽孤，遇元夫，交孚，厲無咎。,象曰：交孚無咎，志行也。,,
睽五,睽,,六五：悔亡，厥宗噬膚，往何咎。,象曰：厥宗噬膚，往有慶也。,,
睽上,睽,,上九：睽孤， 見豕負涂，載鬼一車， 先張之弧，后說之弧，匪寇婚媾，往遇雨則吉。,象曰：遇雨之吉，群疑亡也。,,
蹇,蹇,,蹇：利西南，不利東北﹔利見大人，貞吉。,象曰：山上有水，蹇﹔君子以反身修德。,彖曰：蹇，難也，險在前也。 見險而能止，知矣哉！蹇利西南， 往得中也﹔不利東北，其道窮也。 利見大人，往有功也。 當位貞吉，以正邦也。 蹇之時用大矣哉！,
蹇初,蹇,,初六：往蹇，來譽。,象曰：往蹇來譽，宜待也。,,
蹇二,蹇,,六二：王臣蹇蹇，匪躬之故。,象曰：王臣蹇蹇，終無尤也。,,
蹇三,蹇,,九三：往蹇來反。,象曰：往蹇來反，內喜之也。,,
蹇四,蹇,,六四：往蹇來連。,象曰：往蹇來連，當位實也。,,
蹇五,蹇,,九五：大蹇朋來。,象曰：大蹇朋來，以中節也。,,
蹇上,蹇,,上六：往蹇來碩，吉﹔利見大人。,象曰：往蹇來碩，志在內也。 利見大人，以從貴也。,,
解,解,,解：利西南，無所往，其來復吉。 有攸往，夙吉。,象曰：雷雨作，解﹔君子以赦過宥罪。,彖曰：解，險以動，動而免乎險，解。 解利西南，往得眾也。其來復吉， 乃得中也。有攸往夙吉，往有功也。 天地解，而雷雨作，雷雨作，而百果草木皆甲坼，解之時義大矣哉！,
解初,解,,初六：無咎。,象曰：剛柔之際，義無咎也。,,
解二,解,,九二：田獲三狐，得黃矢，貞吉。,象曰：九二貞吉，得中道也。,,
解三,解,,六三：負且乘，致寇至，貞吝。,象曰：負且乘，亦可丑也，自我致戎，又誰咎也。,,
解四,解,,九四：解而拇，朋至斯孚。,象曰：解而拇，未當位也。,,
解五,解,,六五：君子維有解，吉﹔有孚于小人。,象曰：君子有解，小人退也。,,
解上,解,,上六：公用射隼，于高墉之上，獲之，無不利。,象曰：公用射隼，以解悖也。,,
損,損,,損：有孚，元吉，無咎，可貞，利有攸往？  曷之用，二簋可用享。,象曰：山下有澤，損﹔君子以懲忿窒欲。,彖曰：損，損下益上，其道上行。損而有孚，元吉，無咎，可貞，利有攸往。 曷之用？ 二簋可用享﹔二簋應有時。損剛益柔有時，損益盈虛，與時偕行。,
損初,損,,初九：已事遄往，無咎，酌損之。,象曰：已事遄往，尚合志也。,,
損二,損,,九二：利貞，征凶，弗損益之。,象曰：九二利貞，中以為志也。,,
損三,損,,六三：三人行，則損一人﹔一人行，則得其友。,象曰：一人行，三則疑也。,,
損四,損,,六四：損其疾，使遄有喜，無咎。,象曰：損其疾，亦可喜也。,,
損五,損,,六五：或益之，十朋之龜弗克違，元吉。,象曰：六五元吉，自上佑也。,,
損上,損,,上九：弗損益之，無咎，貞吉，利有攸往，得臣無家。,象曰：弗損益之，大得志也。,,
益,益,,益：利有攸往，利涉大川。,象曰：風雷，益﹔君子以見善則遷，有過則改。,彖曰：益，損上益下，民說無疆，自上下下，其道大光。利有攸往，中正有慶。 利涉大川，木道乃行。 益動而巽，日進無疆。 天施地生，其益無方。 凡益之道，與時偕行。,
益初,益,,初九：利用為大作，元吉，無咎。,象曰：元吉無咎，下不厚事也。,,
益二,益,,六二：或益之，十朋之龜，弗克違，永貞吉。 王用享于帝，吉。,象曰：或益之，自外來也。,,
益三,益,,六三：益之用凶事，無咎。 有孚中行，告公用圭。,象曰：益用凶事，固有之也。,,
益四,益,,六四：中行告公從。 利用為依遷國。,象曰：告公從，以益志也。,,
益五,益,,九五：有孚惠心，勿問元吉。 有孚惠我德。,象曰：有孚惠心，勿問之矣。 惠我德，大得志也。,,
益上,益,,上九：莫益之，或擊之，立心勿恆，凶。,象曰：莫益之，偏辭也。 或擊之，自外來也。,,
夬,夬,,夬：揚于王庭，孚號，有厲，告自邑，不利即戎，利有攸往。,象曰：澤上于天，夬﹔君子以施祿及下，居德則忌。,彖曰：夬，決也，剛決柔也。健而說，決而和，揚于王庭，柔乘五剛也。孚號有厲，其危乃光也。 告自邑，不利即戎，所尚乃窮也。 利有攸往，剛長乃終也。,
夬初,夬,,初九：壯于前趾，往不勝為咎。,象曰：不勝而往，咎也。,,
夬二,夬,,九二：惕號，莫夜有戎，勿恤。,象曰：莫夜有戎，得中道也。,,
夬三,夬,,九三：壯于頄，有凶。 君子夬夬，獨行遇雨，若濡有慍，無咎。,象曰：君子夬夬，終無咎也。,,
夬四,夬,,九四：臀無膚，其行次且。 牽羊悔亡，聞言不信。,象曰：其行次且，位不當也。 聞言不信，聰不明也。,,
夬五,夬,,九五：莧陸夬夬，中行無咎。,象曰：中行無咎，中未光也。,,
夬上,夬,,上六：無號，終有凶。,象曰：無號之凶，終不可長也。,,
姤,姤,,姤 ：女壯，勿用取女。,象曰：天下有風，姤 ﹔后以施命誥四方。,彖曰：姤 ，遇也，柔遇剛也。勿用取女，不可與長也。 天地相遇，品物咸章也。 剛遇中正，天下大行也。 姤 之時義大矣哉！,
姤初,姤,,初六：系于金柅，貞吉，有攸往，見凶，羸豕踟躅。,象曰：系于金柅，柔道牽也。,,
姤二,姤,,九二：包有魚，無咎，不利賓。,象曰：包有魚，義不及賓也。,,
姤三,姤,,九三：臀無膚，其行次且，厲，無大咎。,象曰：其行次且，行未牽也。,,
姤四,姤,,九四：包無魚，起凶。,象曰：無魚之凶，遠民也。,,
姤五,姤,,九五：以杞包瓜，含章，有隕自天。,象曰：九五含章，中正也。 有隕自天，志不舍命也。,,
姤上,姤,,上九：姤 其角，吝，無咎。,象曰：姤 其角，上窮吝也。,,
萃,萃,,萃：亨。 王假有廟，利見大人，亨，利貞。 用大牲吉，利有攸往。,象曰：澤上於地，萃﹔君子以除戎器，戒不虞。,彖曰：萃，聚也﹔順以說，剛中而應，故聚也。王假有廟，致孝享也。利見大人亨，聚以正也。 用大牲吉，利有攸往，順天命也。 觀其所聚，而天地萬物之情可見矣。,
萃初,萃,,初六：有孚不終，乃亂乃萃，若號一握為笑，勿恤，往無咎。,象曰：乃亂乃萃，其志亂也。,,
萃二,萃,,六二：引吉，無咎，孚乃利用禴。,象曰：引吉無咎，中未變也。,,
萃三,萃,,六三：萃如，嗟如，無攸利，往無咎，小吝。,象曰：往無咎，上巽也。,,
萃四,萃,,九四：大吉，無咎。,象曰：大吉無咎，位不當也。,,
萃五,萃,,九五：萃有位，無咎。 匪孚，元永貞，悔亡。,象曰：萃有位，志未光也。,,
萃上,萃,,上六：齎咨涕洟，無咎。,象曰：齎咨涕洟，未安上也。,,
升,升,,升：元亨，用見大人，勿恤，南征吉。,象曰：地中生木，升﹔君子以順德，積小以高大。,彖曰：柔以時升，巽而順，剛中而應，是以大亨。用見大人，勿恤﹔有慶也。 南征吉，志行也。,
升初,升,,初六：允升，大吉。,象曰：允升大吉，上合志也。,,
升二,升,,九二：孚乃利用禴，無咎。,象曰：九二之孚，有喜也。,,
升三,升,,九三：升虛邑。,象曰：升虛邑，無所疑也。,,
升四,升,,六四：王用亨于岐山，吉無咎。,象曰：王用亨于岐山，順事也。,,
升五,升,,六五：貞吉，升階。,象曰：貞吉升階，大得志也。,,
升上,升,,上六：冥升，利于不息之貞。,象曰：冥升在上，消不富也。,,
困,困,,困：亨，貞，大人吉，無咎，有言不信。,象曰：澤無水，困﹔君子以致命遂志。,彖曰：困，剛掩也。 險以說，困而不失其所，亨﹔其唯君子乎？ 貞大人吉，以剛中也。 有言不信，尚口乃窮也。,
困初,困,,初六：臀困于株木，入于幽谷，三歲不見。,象曰：入于幽谷，幽不明也。,,
困二,困,,九二：困于酒食，朱紱方來，利用亨祀，征凶，無咎。,象曰：困于酒食，中有慶也。,,
困三,困,,六三：困于石，據于蒺藜，入于其宮，不見其妻，凶。,象曰：據于蒺藜，乘剛也。 入于其宮，不見其妻，不祥也。,,
困四,困,,九四：來徐徐，困于金車，吝，有終。,象曰：來徐徐，志在下也。 雖不當位，有與也。,,
困五,困,,九五：劓刖，困于赤紱，乃徐有說，利用祭祀。,象曰：劓刖，志未得也。乃徐有說，以中直也。利用祭祀，受福也。,,
困上,困,,上六：困于葛藟，于臲卼，曰動悔。 有悔，征吉。,象曰：困于葛藟，未當也。 動悔，有悔吉，行也。,,
井,井,,井：改邑不改井，無喪無得，往來井井。汔至，亦未繘井，羸其瓶，凶。,象曰：木上有水，井﹔君子以勞民勸相。,彖曰：巽乎水而上水，井﹔井養而不窮也。改邑不改井，乃以剛中也。汔至亦未繘井，未有功也。 羸其瓶，是以凶也。,
井初,井,,初六：井泥不食，舊井無禽。,象曰：井泥不食，下也。 舊井無禽，時舍也。,,
井二,井,,九二：井谷射鮒，瓮敝漏。,象曰：井谷射鮒，無與也。,,
井三,井,,九三：井渫不食，為我民惻，可用汲，王明，并受其福。,象曰：井渫不食，行惻也。 求王明，受福也。,,
井四,井,,六四：井甃，無咎。,象曰：井甃無咎，修井也。,,
井五,井,,九五：井冽，寒泉食。,象曰：寒泉之食，中正也。,,
井上,井,,上六：井收勿幕，有孚元吉。,象曰：元吉在上，大成也。,,
革,革,,革：己日乃孚，元亨利貞，悔亡。,象曰：澤中有火，革﹔君子以治歷明時。,彖曰：革，水火相息，二女同居，其志不相得，曰革。己日乃孚﹔革而信也。 文明以說，大亨以正，革而當，其悔乃亡。天地革而四時成，湯武革命，順乎天而應乎人，革之時義大矣哉！,
革初,革,,初九：鞏用黃牛之革。,象曰：鞏用黃牛，不可以有為也。,,
革二,革,,六二：己日乃革之，征吉，無咎。,象曰：己日革之，行有嘉也。,,
革三,革,,九三：征凶，貞厲，革言三就，有孚。,象曰：革言三就，又何之矣。,,
革四,革,,九四：悔亡，有孚改命，吉。,象曰：改命之吉，信志也。,,
革五,革,,九五：大人虎變，未占有孚。,象曰：大人虎變，其文炳也。,,
革上,革,,上六：君子豹變，小人革面，征凶，居貞吉。,象曰：君子豹變，其文蔚也。 小人革面，順以從君也。,,
鼎,鼎,,鼎：元吉，亨。,象曰：木上有火，鼎﹔君子以正位凝命。,彖曰：鼎，象也。 以木巽火，亨飪也。 聖人亨以享上帝，而大亨以養聖賢。 巽而耳目聰明，柔進而上行，得中而應乎剛，是以元亨。,
鼎初,鼎,,初六：鼎顛趾，利出否，得妾以其子，無咎。,象曰：鼎顛趾，未悖也。 利出否，以從貴也。,,
鼎二,鼎,,九二：鼎有實，我仇有疾，不我能即，吉。,象曰：鼎有實，慎所之也。 我仇有疾，終無尤也。,,
鼎三,鼎,,九三：鼎耳革，其行塞，雉膏不食，方雨虧悔，終吉。,象曰：鼎耳革，失其義也。,,
鼎四,鼎,,九四：鼎折足，覆公餗，其形渥，凶。,象曰：覆公餗，信如何也。,,
鼎五,鼎,,六五：鼎黃耳金鉉，利貞。,象曰：鼎黃耳，中以為實也。,,
鼎上,鼎,,上九：鼎玉鉉，大吉，無不利。,象曰：玉鉉在上，剛柔節也。,,
震,震,,震：亨。 震來虩虩，笑言啞啞。 震驚百里，不喪匕鬯。,象曰：洊雷，震﹔君子以恐懼修身。,彖曰：震，亨。 震來虩虩，恐致福也。笑言啞啞，后有則也。 震驚百里，驚遠而懼邇也。 出可以守宗廟社稷，以為祭主也。,
震初,震,,初九：震來虩虩，后笑言啞啞，吉。,象曰：震來虩虩，恐致福也。 笑言啞啞，后有則也。,,
震二,震,,六二：震來厲，億喪貝，躋于九陵，勿逐，七日得。,象曰：震來厲，乘剛也。,,
震三,震,,六三：震蘇蘇，震行無眚。,象曰：震蘇蘇，位不當也。,,
震四,震,,九四：震遂泥。,象曰：震遂泥，未光也。,,
震五,震,,六五：震往來厲，億無喪，有事。,象曰：震往來厲，危行也。 其事在中，大無喪也。,,
震上,震,,上六：震索索，視矍矍，征凶。 震不于其躬，于其鄰，無咎。 婚媾有言。,象曰：震索索，未得中也。 雖凶無咎，畏鄰戒也。,,
艮,艮,,艮：艮其背，不獲其身，行其庭，不見其人，無咎。,象曰：兼山，艮﹔君子以思不出其位。,彖曰：艮，止也。 時止則止，時行則行，動靜不失其時，其道光明。 艮其止，止其所也。 上下敵應，不相與也。 是以不獲其身，行其庭不見其人，無咎也。,
艮初,艮,,初六：艮其趾，無咎，利永貞。,象曰：艮其趾，未失正也。,,
艮二,艮,,六二：艮其腓，不拯其隨，其心不快。,象曰：不拯其隨，未退聽也。,,
艮三,艮,,九三：艮其限，列其夤，厲薰心。,象曰：艮其限，危薰心也。,,
艮四,艮,,六四：艮其身，無咎。,象曰：艮其身，止諸躬也。,,
艮五,艮,,六五：艮其輔，言有序，悔亡。,象曰：艮其輔，以中正也。,,
艮上,艮,,上九：敦艮，吉。,象曰：敦艮之吉，以厚終也。,,
漸,漸,,漸：女歸吉，利貞。,象曰：山上有木，漸﹔君子以居賢德，善俗。,彖曰：漸之進也，女歸吉也。 進得位，往有功也。進以正，可以正邦也。其位剛，得中也。 止而巽，動不窮也。,
漸初,漸,,初六：鴻漸于干，小子厲，有言，無咎。,象曰：小子之厲，義無咎也。,,
漸二,漸,,六二：鴻漸于磐，飲食衎衎，吉。,象曰：飲食衎衎，不素飽也。,,
漸三,漸,,九三：鴻漸于陸，夫征不復，婦孕不育，凶﹔利御寇。,象曰：夫征不復，離群丑也。 婦孕不育，失其道也。利用御寇，順相保也。,,
漸四,漸,,六四：鴻漸于木，或得其桷，無咎。,象曰：或得其桷，順以巽也。,,
漸五,漸,,九五：鴻漸于陵，婦三歲不孕，終莫之勝，吉。,象曰：終莫之勝，吉﹔得所愿也。,,
漸上,漸,,上九：鴻漸于逵，其羽可用為儀，吉。,象曰：其羽可用為儀，吉﹔不可亂也。,,
歸妹,歸妹,,歸妹：征凶，無攸利。,象曰：澤上有雷，歸妹﹔君子以永終知敝。,彖曰：歸妹，天地之大義也。天地不交，而萬物不興，歸妹人之終始也。說以動，所歸妹也。 征凶，位不當也。 無攸利，柔乘剛也。,
歸妹初,歸妹,,初九：歸妹以娣，跛能履，征吉。,象曰：歸妹以娣，以恆也。 跛能履吉，相承也。,,
歸妹二,歸妹,,九二：眇能視，利幽人之貞。,象曰：利幽人之貞，未變常也。,,
歸妹三,歸妹,,六三：歸妹以須，反歸以娣。,象曰：歸妹以須，未當也。,,
歸妹四,歸妹,,九四：歸妹愆期，遲歸有時。,象曰：愆期之志，有待而行也。,,
歸妹五,歸妹,,六五：帝乙歸妹，其君之袂，不如其娣之袂良，月几望，吉。,象曰：帝乙歸妹，不如其娣之袂良也。 其位在中，以貴行也。,,
歸妹上,歸妹,,上六：女承筐無實，士刲羊無血，無攸利。,象曰：上六無實，承虛筐也。,,
